ticker,comp_name,exchange,per_end_date,per_type,filing_date,filing_type,zacks_sector_code,lterm_debt_net_tot,eps_diluted_net_basic
FCEL,FuelCell Energy,NASDAQ,2024-01-31,Q,2024-03-07,10-Q,12.0,-2.595,-0.05
GME,GameStop,NYSE,2024-01-31,Q,2024-03-26,10-Q,2.0,17.7,0.21
GME,GameStop,NYSE,2024-01-31,A,2024-03-26,10-K,2.0,17.7,0.02
DY,Dycom Industries,NYSE,2024-01-31,Q,2024-03-01,10-Q,8.0,-17.5,0.79
DY,Dycom Industries,NYSE,2024-01-31,A,2024-03-01,10-K,8.0,-17.5,7.37
PLAY,Dave & Buster's Entertainment,NASDAQ,2024-01-31,Q,2024-04-02,10-Q,3.0,131.4,0.95
VIRC,Virco Manufacturing,NASDAQ,2024-01-31,A,2024-04-12,10-K,2.0,-17.36,1.34
TGT,Target,NYSE,2024-01-31,Q,2024-03-13,10-Q,3.0,-147.0,2.99
PVH,PVH,NYSE,2024-01-31,A,2024-04-02,10-K,2.0,-111.9,10.76
HRL,Hormel Foods,NYSE,2024-01-31,Q,2024-02-29,10-Q,1.0,-2.249,0.4
NCNO,nCino,NASDAQ,2024-01-31,Q,2024-03-26,10-Q,10.0,-1.226,0.01
PURE,PURE Bioscience,NASDAQ Other OTC,2024-01-31,Q,2024-03-18,10-Q,4.0,0.785,-0.01
NCNO,nCino,NASDAQ,2024-01-31,A,2024-03-26,10-K,10.0,-1.226,-0.38
HSCS,HeartSciences Inc.,NASDAQ,2024-01-31,Q,2024-03-14,10-Q,4.0,0.1167,-3.0
BURL,Burlington Stores,NYSE,2024-01-31,Q,2024-03-15,10-Q,3.0,-99.064,3.51
BURL,Burlington Stores,NYSE,2024-01-31,A,2024-03-15,10-K,3.0,-99.064,5.23
CPRT,Copart,NASDAQ,2024-01-31,Q,2024-02-27,10-Q,16.0,-0.011,0.33
BUKS,Butler National,NASDAQ OTC Bulletin Board,2024-01-31,Q,2024-03-15,10-Q,11.0,-3.916,0.03
PVH,PVH,NYSE,2024-01-31,Q,2024-04-02,10-Q,2.0,-111.9,4.46
RCAT,Red Cat,NASDAQ,2024-01-31,Q,2024-03-18,10-Q,16.0,-0.4238,-0.1
HEI,Heico,NYSE,2024-01-31,Q,2024-02-28,10-Q,11.0,2495.726,0.82
TTC,Toro,NYSE,2024-01-31,Q,2024-03-07,10-Q,2.0,1179.8,0.62
NAPA,The Duckhorn Portfolio,NYSE,2024-01-31,Q,2024-03-07,10-Q,1.0,-5.0,0.14
ENZ,Enzo Biochem,NYSE,2024-01-31,Q,2024-03-13,10-Q,4.0,-0.073,-0.06
HD,Home Depot,NYSE,2024-01-31,Q,2024-03-13,10-Q,3.0,724.0,2.83
HD,Home Depot,NYSE,2024-01-31,A,2024-03-13,10-K,3.0,724.0,15.11
AMWD,American Woodmark,NASDAQ,2024-01-31,Q,2024-02-29,10-Q,2.0,-1.986,1.32
ANF,Abercrombie & Fitch,NYSE,2024-01-31,A,2024-04-01,10-K,3.0,-77.972,6.22
HEI.A,Heico,NYSE,2024-01-31,Q,2024-02-28,10-Q,11.0,2495.726,0.82
ANF,Abercrombie & Fitch,NYSE,2024-01-31,Q,2024-04-01,10-Q,3.0,-77.972,2.97
ALOT,AstroNova,NASDAQ,2024-01-31,A,2024-04-12,10-K,16.0,-2.1,0.63
HQY,HealthEquity,NASDAQ,2024-01-31,Q,2024-03-22,10-Q,4.0,-54.375,0.3
UNFI,United Natural Foods,NYSE,2024-01-31,Q,2024-03-06,10-Q,1.0,219.0,-0.25
AMAT,Applied Materials,NASDAQ,2024-01-31,Q,2024-02-27,10-Q,10.0,1.0,2.41
HMLA,"Himalaya Technologies, Inc.",NASDAQ Other OTC,2024-01-31,Q,2024-03-26,10-Q,13.0,-0.0001,0.0
COO,The Cooper Companies,NASDAQ,2024-01-31,Q,2024-03-01,10-Q,4.0,202.0,0.41
CONNQ,Conn's,NASDAQ Other OTC,2024-01-31,Q,2024-04-18,10-Q,3.0,252.751,1.8
CONNQ,Conn's,NASDAQ Other OTC,2024-01-31,A,2024-04-18,10-K,3.0,252.751,-3.17
HOFT,Hooker Furniture,NASDAQ,2024-01-31,A,2024-04-12,10-K,2.0,-1.4,0.91
HOFT,Hooker Furniture,NASDAQ,2024-01-31,Q,2024-04-12,10-Q,2.0,-1.4,0.06
ALOT,AstroNova,NASDAQ,2024-01-31,Q,2024-04-12,10-Q,16.0,-2.1,0.37
HOV,Hovnanian Enterprises,NYSE,2024-01-31,Q,2024-03-01,10-Q,8.0,-132.896,2.91
CPB,Campbell Soup,NASDAQ,2024-01-31,Q,2024-03-06,10-Q,1.0,4506.0,0.68
HPE,Hewlett Packard,NYSE,2024-01-31,Q,2024-03-05,10-Q,10.0,344.0,0.29
NDSN,Nordson,NASDAQ,2024-01-31,Q,2024-02-22,10-Q,7.0,-108.683,1.9
HPQ,HP,NYSE,2024-01-31,Q,2024-02-28,10-Q,10.0,43.0,0.62
HQY,HealthEquity,NASDAQ,2024-01-31,A,2024-03-22,10-K,4.0,-54.375,0.64
NIMU,NonInvasive Monitoring Systems,NASDAQ Other OTC,2024-01-31,Q,2024-03-15,10-Q,4.0,0.5,0.0
ESTC,Elastic,NYSE,2024-01-31,Q,2024-03-01,10-Q,16.0,568.341,1.69
TGT,Target,NYSE,2024-01-31,A,2024-03-13,10-K,3.0,-147.0,8.94
RENT,Rent the Runway,NASDAQ,2024-01-31,A,2024-04-11,10-K,3.0,306.7,-33.12
CRM,Salesforce,NYSE,2024-01-31,A,2024-03-06,10-K,10.0,-1811.0,4.2
CRM,Salesforce,NYSE,2024-01-31,Q,2024-03-06,10-Q,10.0,-1811.0,1.47
IHT,InnSuites Hospitality Trust,NYSE MKT (ex. AMEX),2024-01-31,A,2024-04-08,10-K,2.0,-0.3244,0.02
IHT,InnSuites Hospitality Trust,NYSE MKT (ex. AMEX),2024-01-31,Q,2024-04-08,10-Q,2.0,-0.3244,-0.02
CRMT,America's CarMart,NASDAQ,2024-01-31,Q,2024-03-11,10-Q,3.0,-394.45,-1.34
MSS,Maison Solutions Inc.,NASDAQ,2024-01-31,Q,2024-03-18,10-Q,2.0,-0.2975,-0.03
BRID,Bridgford Foods,NASDAQ,2024-01-31,Q,2024-03-08,10-Q,1.0,-0.327,0.14
MRVL,Marvell Technology,NASDAQ,2024-01-31,Q,2024-03-13,10-Q,16.0,-327.2,-0.45
MRVL,Marvell Technology,NASDAQ,2024-01-31,A,2024-03-13,10-K,16.0,-327.2,-1.08
TJX,The TJX Companies,NYSE,2024-01-31,Q,2024-04-03,10-Q,3.0,2862.0,1.22
TJX,The TJX Companies,NYSE,2024-01-31,A,2024-04-03,10-K,3.0,2862.0,3.86
TITN,Titan Machinery,NASDAQ,2024-01-31,Q,2024-04-03,10-Q,3.0,6.554,1.04
TITN,Titan Machinery,NASDAQ,2024-01-31,A,2024-04-03,10-K,3.0,6.554,4.93
BRC,Brady,NYSE,2024-01-31,Q,2024-02-22,10-Q,7.0,48.09,0.9
CRWD,CrowdStrike,NASDAQ,2024-01-31,A,2024-03-07,10-K,10.0,742.494,0.37
THO,Thor Industries,NYSE,2024-01-31,Q,2024-03-06,10-Q,8.0,-71.988,0.13
CRWD,CrowdStrike,NASDAQ,2024-01-31,Q,2024-03-07,10-Q,10.0,742.494,0.23
RENT,Rent the Runway,NASDAQ,2024-01-31,Q,2024-04-11,10-Q,3.0,306.7,-7.05
BRRE,Blue Ridge Real Estate Co.,NASDAQ Other OTC,2024-01-31,Q,2024-03-18,10-Q,13.0,0.0115,-0.11
RH,RH,NYSE,2024-01-31,Q,2024-03-28,10-Q,1.0,-41.854,0.91
PSTG,Pure Storage,NYSE,2024-01-31,Q,2024-04-01,10-Q,10.0,-479.309,0.22
