ticker,per_end_date,per_type,ret_invst,tot_debt_tot_equity
DOMO,2024-01-31,Q,46.6985,-0.7394
DOMO,2024-01-31,A,188.8658,-0.7394
KR,2024-01-31,A,9.1794,1.0539
KR,2024-01-31,Q,3.1275,1.0539
HOFT,2024-01-31,A,3.9866,0.1012
BIGGQ,2024-01-31,Q,-4.4456,1.428
HOFT,2024-01-31,Q,0.2392,0.1012
TPET,2024-01-31,Q,-18.8273,0.1406
CRWD,2024-01-31,A,2.9415,0.3177
THO,2024-01-31,Q,0.0999,0.3744
CRWD,2024-01-31,Q,1.784,0.3177
SAIC,2024-01-31,Q,1.0244,1.1759
SAIC,2024-01-31,A,12.5296,1.1759
BNED,2024-01-31,Q,-7.7974,2.6176
TGT,2024-01-31,Q,4.8741,1.194
SPWH,2024-01-31,Q,-3.3033,0.4764
SPWH,2024-01-31,A,-10.9606,0.4764
TGT,2024-01-31,A,14.5941,1.194
BBWI,2024-01-31,Q,20.9631,-2.6986
DG,2024-01-31,Q,3.0955,1.0372
DG,2024-01-31,A,12.7981,1.0372
ROST,2024-01-31,A,26.4675,0.5051
ABM,2024-01-31,Q,1.4329,0.7289
PANW,2024-01-31,Q,40.0923,0.4181
BBY,2024-01-31,A,29.5125,0.3816
BBWI,2024-01-31,A,31.7886,-2.6986
OKTA,2024-01-31,A,-5.0412,0.196
OKTA,2024-01-31,Q,-0.6248,0.196
IVDN,2024-01-31,Q,-4.6544,0.0864
TJX,2024-01-31,Q,13.8036,0.3919
TJX,2024-01-31,A,44.0181,0.3919
BBCP,2024-01-31,Q,-0.5625,1.2512
OLLI,2024-01-31,A,12.0218,0.0011
OLLI,2024-01-31,Q,5.0671,0.0011
TITN,2024-01-31,Q,3.1362,1.5418
TITN,2024-01-31,A,14.7165,1.5418
BRC,2024-01-31,Q,4.0143,0.0463
DBI,2024-01-31,A,3.7477,1.1889
SMTC,2024-01-31,A,-102.6547,-4.4623
SMTC,2024-01-31,Q,-60.3839,-4.4623
DBI,2024-01-31,Q,-3.7992,1.1889
SRCO,2024-01-31,Q,0.9848,-0.7493
FL,2024-01-31,A,-9.904,0.1547
FL,2024-01-31,Q,-11.6747,0.1547
BBY,2024-01-31,Q,10.9394,0.3816
ROST,2024-01-31,Q,8.6085,0.5051
ASAN,2024-01-31,Q,-16.8637,0.1336
