ticker,per_end_date,per_type,shares_out
BB,2024-02-29,Q,589.23
PENG,2024-02-29,Q,51.83
LOOP,2024-02-29,Q,47.53
NG,2024-02-29,Q,334.37
KMX,2024-02-29,Q,157.9
DRI,2024-02-29,Q,119.36
GBX,2024-02-29,Q,31.09
KRUS,2024-02-29,Q,11.23
PRGS,2024-02-29,Q,43.22
WBA,2024-02-29,Q,862.71
LNN,2024-02-29,Q,11.03
NEOG,2024-02-29,Q,216.61
PVSP,2024-02-29,Q,5429.23
RDUS,2024-02-29,Q,27.98
LEN.B,2024-02-29,Q,278.34
LEN,2024-02-29,Q,278.34
KBH,2024-02-29,Q,75.92
EDUC,2024-02-29,Q,8.57
LEVI,2024-02-29,Q,398.03
MSM,2024-02-29,Q,56.3
JEF,2024-02-29,Q,212.04
GIFT,2024-02-29,Q,25.4
WOR,2024-02-29,Q,49.99
LEDS,2024-02-29,Q,7.18
GIS,2024-02-29,Q,567.9
LFCR,2024-02-29,Q,30.55
WDFC,2024-02-29,Q,13.56
APOG,2024-02-29,Q,22.08
AIR,2024-02-29,Q,35.43
AZO,2024-02-29,Q,17.3
CAG,2024-02-29,Q,478.06
MLKN,2024-02-29,Q,72.82
FUL,2024-02-29,Q,54.49
ETWO,2024-02-29,Q,340.66
FEDU,2024-02-29,Q,2.12
FDX,2024-02-29,Q,246.08
AYI,2024-02-29,Q,30.8
FDS,2024-02-29,Q,38.12
LW,2024-02-29,Q,144.39
ARTW,2024-02-29,Q,5.07
FC,2024-02-29,Q,13.29
JBL,2024-02-29,Q,120.6
RMCF,2024-02-29,Q,6.32
STZ,2024-02-29,Q,182.91
AXIL,2024-02-29,Q,5.88
CMC,2024-02-29,Q,115.71
MU,2024-02-29,Q,1107.37
SNX,2024-02-29,Q,87.66
APLD,2024-02-29,Q,122.04
ACI,2024-02-29,Q,576.04
PAPL,2024-02-29,Q,7.18
COST,2024-02-29,Q,443.5
SCHL,2024-02-29,Q,28.6
ADBE,2024-02-29,Q,448.0
ORCL,2024-02-29,Q,2748.5
SAR,2024-02-29,Q,13.65
VOXX,2024-02-29,Q,21.96
CUK,2024-02-29,Q,187.68
SCS,2024-02-29,Q,114.23
NKE,2024-02-29,Q,1509.36
RPM,2024-02-29,Q,128.76
PCYO,2024-02-29,Q,24.08
CTAS,2024-02-29,Q,405.49
TLRY,2024-02-29,Q,774.03
PAYX,2024-02-29,Q,359.96
CNXC,2024-02-29,Q,66.3
ACCD,2024-02-29,Q,77.41
NTIC,2024-02-29,Q,9.43
ACN,2024-02-29,Q,670.74
NVOS,2024-02-29,Q,17.75
HELE,2024-02-29,Q,23.75
HLIO,2024-03-31,Q,33.2
FTI,2024-03-31,Q,430.97
FTHM,2024-03-31,Q,20.78
FTK,2024-03-31,Q,29.66
FTNT,2024-03-31,Q,763.33
HL,2024-03-31,Q,616.79
FUN,2024-03-31,Q,51.25
FUNC,2024-03-31,Q,6.64
FTV,2024-03-31,Q,352.03
HLF,2024-03-31,Q,99.97
FTRE,2024-03-31,Q,89.37
SCSC,2024-03-31,Q,25.17
SNCY,2024-03-31,Q,52.61
SNCR,2024-03-31,Q,10.31
FSLR,2024-03-31,Q,107.04
HLX,2024-03-31,Q,152.45
FSP,2024-03-31,Q,103.43
FSLY,2024-03-31,Q,136.6
SND,2024-03-31,Q,42.36
FSK,2024-03-31,Q,280.07
SNDR,2024-03-31,Q,175.57
FSEA,2024-03-31,Q,5.08
FSFG,2024-03-31,Q,6.88
FSI,2024-03-31,Q,12.45
SNDA,2024-03-31,Q,13.85
HLNE,2024-03-31,Q,54.21
SMXT,2024-03-31,Q,45.25
HLMN,2024-03-31,Q,195.94
HLLY,2024-03-31,Q,118.31
FTDR,2024-03-31,Q,77.79
SNAX,2024-03-31,Q,3.28
SNAP,2024-03-31,Q,1641.04
HLT,2024-03-31,Q,250.05
FSTR,2024-03-31,Q,10.97
SNA,2024-03-31,Q,52.72
GBDC,2024-03-31,Q,171.52
SM,2024-03-31,Q,115.04
HI,2024-03-31,Q,70.19
SDIG,2024-03-31,Q,15.31
GBNHF,2024-03-31,Q,40.8
GBNY,2024-03-31,Q,2.24
SDGR,2024-03-31,Q,72.68
HIFS,2024-03-31,Q,2.15
SDHC,2024-03-31,Q,51.28
SMC,2024-03-31,Q,10.65
SMBK,2024-03-31,Q,17.06
GATO,2024-03-31,Q,69.18
GATX,2024-03-31,Q,35.6
SMBC,2024-03-31,Q,11.37
SLVM,2024-03-31,Q,41.46
GCMG,2024-03-31,Q,187.23
SLRC,2024-03-31,Q,54.56
SLQT,2024-03-31,Q,168.99
GCT,2024-03-31,Q,40.8
GCTK,2024-03-31,Q,5.35
GCTS,2024-03-31,Q,45.83
HHH,2024-03-31,Q,50.25
GBTG,2024-03-31,Q,472.62
HIG,2024-03-31,Q,295.76
HGV,2024-03-31,Q,104.75
SDOT,2024-03-31,Q,5.18
HGTY,2024-03-31,Q,336.74
