ticker,comp_name,exchange,per_end_date,per_type,filing_date,filing_type,zacks_sector_code,lterm_debt_net_tot,eps_diluted_net_basic
FL,Foot Locker,NYSE,2024-01-31,Q,2024-03-28,10-Q,3.0,-6.0,-4.14
FL,Foot Locker,NYSE,2024-01-31,A,2024-03-28,10-K,3.0,-6.0,-3.51
NTNX,Nutanix,NASDAQ,2024-01-31,Q,2024-03-07,10-Q,10.0,-1.758,0.12
NTRB,Nutriband,NASDAQ,2024-01-31,A,2024-05-01,10-K,4.0,0.0868,-0.69
BOX,Box,NYSE,2024-01-31,A,2024-03-11,10-K,10.0,-30.176,0.67
BOX,Box,NYSE,2024-01-31,Q,2024-03-11,10-Q,10.0,-30.176,0.57
NTRB,Nutriband,NASDAQ,2024-01-31,Q,2024-05-01,10-Q,4.0,0.0868,-0.23
FGPRQ,Ferrellgas Partners,NASDAQ Other OTC,2024-01-31,Q,2024-03-08,10-Q,12.0,-1.516,2.31
VSCO,Victoria's Secret,NYSE,2024-01-31,Q,2024-03-22,10-Q,2.0,-4.0,2.32
NVDA,NVIDIA,NASDAQ,2024-01-31,A,2024-02-21,10-K,10.0,-1250.0,1.193
NVDA,NVIDIA,NASDAQ,2024-01-31,Q,2024-02-21,10-Q,10.0,-1250.0,0.49
BRID,Bridgford Foods,NASDAQ,2024-01-31,Q,2024-03-08,10-Q,1.0,-0.327,0.14
ADSK,Autodesk,NASDAQ,2024-01-31,Q,2024-06-10,10-Q,10.0,2284.0,1.29
TITN,Titan Machinery,NASDAQ,2024-01-31,A,2024-04-03,10-K,3.0,6.554,4.93
ANF,Abercrombie & Fitch,NYSE,2024-01-31,Q,2024-04-01,10-Q,3.0,-77.972,2.97
HOFT,Hooker Furniture,NASDAQ,2024-01-31,Q,2024-04-12,10-Q,2.0,-1.4,0.06
HOFT,Hooker Furniture,NASDAQ,2024-01-31,A,2024-04-12,10-K,2.0,-1.4,0.91
HMLA,"Himalaya Technologies, Inc.",NASDAQ Other OTC,2024-01-31,Q,2024-03-26,10-Q,13.0,-0.0001,0.0
LZB,LaZBoy,NYSE,2024-01-31,Q,2024-02-20,10-Q,2.0,-0.346,0.66
M,Macy's,NYSE,2024-01-31,A,2024-03-22,10-K,3.0,-2.0,0.38
M,Macy's,NYSE,2024-01-31,Q,2024-03-22,10-Q,3.0,-2.0,-0.25
MAMA,"Mama's Creations, Inc.",NASDAQ,2024-01-31,A,2024-04-24,10-K,1.0,-2.674,0.17
LE,Land's End,NASDAQ,2024-01-31,Q,2024-04-03,10-Q,3.0,-91.863,-0.27
LE,Land's End,NASDAQ,2024-01-31,A,2024-04-03,10-K,3.0,-91.863,-4.09
MAMA,"Mama's Creations, Inc.",NASDAQ,2024-01-31,Q,2024-04-24,10-Q,1.0,-2.674,0.03
HEI.A,Heico,NYSE,2024-01-31,Q,2024-02-28,10-Q,11.0,2495.726,0.82
HEI,Heico,NYSE,2024-01-31,Q,2024-02-28,10-Q,11.0,2495.726,0.82
ANF,Abercrombie & Fitch,NYSE,2024-01-31,A,2024-04-01,10-K,3.0,-77.972,6.22
AMWD,American Woodmark,NASDAQ,2024-01-31,Q,2024-02-29,10-Q,2.0,-1.986,1.32
VIRC,Virco Manufacturing,NASDAQ,2024-01-31,A,2024-04-12,10-K,2.0,-17.36,1.34
ALOT,AstroNova,NASDAQ,2024-01-31,Q,2024-04-12,10-Q,16.0,-2.1,0.37
ALOT,AstroNova,NASDAQ,2024-01-31,A,2024-04-12,10-K,16.0,-2.1,0.63
VSCO,Victoria's Secret,NYSE,2024-01-31,A,2024-03-22,10-K,2.0,-4.0,1.39
VRNT,Verint Systems,NASDAQ,2024-01-31,Q,2024-03-27,10-Q,10.0,-3.084,0.36
VRNT,Verint Systems,NASDAQ,2024-01-31,A,2024-03-27,10-K,10.0,-3.084,0.28
AMAT,Applied Materials,NASDAQ,2024-01-31,Q,2024-02-27,10-Q,10.0,1.0,2.41
LMNR,Limoneira Co,NASDAQ,2024-01-31,Q,2024-03-07,10-Q,1.0,11.095,-0.21
VODG,Vitro Diagnostics,NASDAQ OTC Bulletin Board,2024-01-31,Q,2024-03-14,10-Q,4.0,2.9835,-1.03
HSCS,HeartSciences Inc.,NASDAQ,2024-01-31,Q,2024-03-14,10-Q,4.0,0.1167,-3.0
VNCE,Vince Holding,NYSE,2024-01-31,Q,2024-05-02,10-Q,2.0,-73.649,-0.37
VNCE,Vince Holding,NYSE,2024-01-31,A,2024-05-02,10-K,2.0,-73.649,2.04
HRL,Hormel Foods,NYSE,2024-01-31,Q,2024-02-29,10-Q,1.0,-2.249,0.4
VLGEA,Village Super Market,NASDAQ,2024-01-31,Q,2024-03-06,10-Q,3.0,-5.387,0.75
HQY,HealthEquity,NASDAQ,2024-01-31,Q,2024-03-22,10-Q,4.0,-54.375,0.3
HQY,HealthEquity,NASDAQ,2024-01-31,A,2024-03-22,10-K,4.0,-54.375,0.64
LOW,Lowe's Companies,NYSE,2024-01-31,A,2024-03-25,10-K,3.0,2382.0,13.2
LOW,Lowe's Companies,NYSE,2024-01-31,Q,2024-03-25,10-Q,3.0,2382.0,1.81
HPQ,HP,NYSE,2024-01-31,Q,2024-02-28,10-Q,10.0,43.0,0.62
HPE,Hewlett Packard,NYSE,2024-01-31,Q,2024-03-05,10-Q,10.0,344.0,0.29
VIRC,Virco Manufacturing,NASDAQ,2024-01-31,Q,2024-04-12,10-Q,2.0,-17.36,-0.14
HOV,Hovnanian Enterprises,NYSE,2024-01-31,Q,2024-03-01,10-Q,8.0,-132.896,2.91
AVGO,Broadcom,NASDAQ,2024-01-31,Q,2024-03-14,10-Q,10.0,29076.0,0.284
AVO,Mission Produce,NASDAQ,2024-01-31,Q,2024-03-11,10-Q,1.0,1.0,0.0
GMS,GMS,NYSE,2024-01-31,Q,2024-02-29,10-Q,3.0,-112.17,1.28
LAKE,Lakeland Industries,NASDAQ,2024-01-31,Q,2024-04-11,10-Q,7.0,0.731,-0.12
LAKE,Lakeland Industries,NASDAQ,2024-01-31,A,2024-04-11,10-K,7.0,0.731,0.72
TPET,Trio Petroleum Corp.,NYSE MKT (ex. AMEX),2024-01-31,Q,2024-03-18,10-Q,12.0,0.175,-0.05
GME,GameStop,NYSE,2024-01-31,Q,2024-03-26,10-Q,2.0,17.7,0.21
GME,GameStop,NYSE,2024-01-31,A,2024-03-26,10-K,2.0,17.7,0.02
TOL,Toll Brothers,NYSE,2024-01-31,Q,2024-03-01,10-Q,8.0,-145.613,2.25
AXR,AMREP,NYSE,2024-01-31,Q,2024-03-08,10-Q,13.0,-0.007,0.02
GIII,GIII Apparel Group,NASDAQ,2024-01-31,Q,2024-03-25,10-Q,2.0,-82.667,0.59
GIII,GIII Apparel Group,NASDAQ,2024-01-31,A,2024-03-25,10-K,2.0,-82.667,3.75
MRVL,Marvell Technology,NASDAQ,2024-01-31,A,2024-03-13,10-K,16.0,-327.2,-1.08
