ticker,per_end_date,per_type,ret_invst,tot_debt_tot_equity
VSCO,2024-01-31,A,7.4454,2.5662
TGT,2024-01-31,Q,4.8741,1.194
GME,2024-01-31,Q,4.6524,0.0213
GME,2024-01-31,A,0.494,0.0213
OKTA,2024-01-31,A,-5.0412,0.196
MTN,2024-01-31,Q,5.9346,2.4253
TGT,2024-01-31,A,14.5941,1.194
ALOT,2024-01-31,Q,2.702,0.2414
PHR,2024-01-31,A,-53.294,0.0456
CIEN,2024-01-31,Q,1.1093,0.5318
PHR,2024-01-31,Q,-11.9315,0.0456
DOMO,2024-01-31,A,188.8658,-0.7394
DOMO,2024-01-31,Q,46.6985,-0.7394
GEF,2024-01-31,Q,1.748,1.1412
GEF.B,2024-01-31,Q,1.748,1.1412
BBY,2024-01-31,Q,10.9394,0.3816
BBY,2024-01-31,A,29.5125,0.3816
ALOT,2024-01-31,A,4.6785,0.2414
OKTA,2024-01-31,Q,-0.6248,0.196
VRNT,2024-01-31,Q,2.3257,0.4936
TOL,2024-01-31,Q,2.4546,0.3871
AMAT,2024-01-31,Q,8.8201,0.3191
SWBI,2024-01-31,Q,1.6521,0.2674
SGMA,2024-01-31,Q,0.3934,1.2712
LMNR,2024-01-31,Q,-1.4922,0.2671
AXR,2024-01-31,Q,0.0808,0.0003
PPIH,2024-01-31,A,18.8888,0.2103
VRNT,2024-01-31,A,3.187,0.4936
STRM,2024-01-31,A,-67.0624,0.5616
STRM,2024-01-31,Q,-4.9139,0.5616
GES,2024-01-31,A,19.161,0.6175
BBCP,2024-01-31,Q,-0.5625,1.2512
THO,2024-01-31,Q,0.0999,0.3744
GES,2024-01-31,Q,10.925,0.6175
CMTL,2024-01-31,Q,-1.8411,0.2931
MSS,2024-01-31,Q,-3.3165,0.1843
OLLI,2024-01-31,A,12.0218,0.0011
PPIH,2024-01-31,Q,13.1109,0.2834
OLLI,2024-01-31,Q,5.0671,0.0011
ABM,2024-01-31,Q,1.4329,0.7289
SPWH,2024-01-31,A,-10.9606,0.4764
NTRB,2024-01-31,Q,-28.8578,0.0322
BOX,2024-01-31,Q,-164.7327,-0.8603
CRWD,2024-01-31,A,2.9415,0.3177
CRWD,2024-01-31,Q,1.784,0.3177
SPWH,2024-01-31,Q,-3.3033,0.4764
BOX,2024-01-31,A,-214.1965,-0.8603
INTU,2024-01-31,Q,1.5443,0.3519
YYAI,2024-01-31,Q,-71.3174,1.4147
MDB,2024-01-31,Q,-2.5069,1.0695
RENT,2024-01-31,A,-61.3883,-2.5078
BIGGQ,2024-01-31,Q,-4.4456,1.428
ASAN,2024-01-31,Q,-16.8637,0.1336
FGPRQ,2024-01-31,Q,15.7321,-1.7305
KEYS,2024-01-31,Q,2.8548,0.3772
KEQU,2024-01-31,Q,3.4608,0.7022
BNED,2024-01-31,Q,-7.7974,2.6176
ADI,2024-01-31,Q,1.1151,0.1966
SNPS,2024-01-31,Q,6.6672,0.0025
MDB,2024-01-31,A,-7.9828,1.0695
BIGGQ,2024-01-31,A,-69.7597,1.428
FL,2024-01-31,A,-9.904,0.1547
BJ,2024-01-31,Q,7.8541,0.4918
TTC,2024-01-31,Q,2.3793,0.7666
JWN,2024-01-31,Q,3.9017,3.375
JWN,2024-01-31,A,3.8728,3.375
MDT,2024-01-31,Q,1.7558,0.4843
JVA,2024-01-31,Q,1.4585,0.1956
PD,2024-01-31,Q,-4.6507,2.6109
PD,2024-01-31,A,-12.486,2.6109
ASO,2024-01-31,Q,6.8943,0.2494
ASO,2024-01-31,A,21.2853,0.2494
BJ,2024-01-31,A,28.1945,0.4918
DAKT,2024-01-31,Q,3.5045,0.3038
FL,2024-01-31,Q,-11.6747,0.1547
NTRB,2024-01-31,A,-84.1556,0.0322
JILL,2024-01-31,A,22.9392,4.1901
JILL,2024-01-31,Q,3.0207,4.1901
NIMU,2024-01-31,Q,21.2598,-0.6631
PDCO,2024-01-31,Q,3.3507,0.8058
RCAT,2024-01-31,Q,-8.4509,0.0182
ROST,2024-01-31,Q,8.6085,0.5051
MEI,2024-01-31,Q,-0.9948,0.3968
SRCO,2024-01-31,Q,0.9848,-0.7493
PANW,2024-01-31,Q,40.0923,0.4181
NTNX,2024-01-31,Q,5.1342,-2.0443
ROST,2024-01-31,A,26.4675,0.5051
CSCO,2024-01-31,Q,4.9773,0.2509
NTAP,2024-01-31,Q,10.4858,2.4054
ASAN,2024-01-31,A,-69.4649,0.1336
RENT,2024-01-31,Q,-13.449,-2.5078
DBI,2024-01-31,Q,-3.7992,1.1889
CRMT,2024-01-31,Q,-1.8213,1.5779
ZUO,2024-01-31,Q,-4.2241,2.6893
CDMO,2024-01-31,Q,-3.2007,0.8264
CURV,2024-01-31,A,15.1218,-1.4735
CRM,2024-01-31,A,6.0758,0.158
KIRK,2024-01-31,Q,27.2519,10.8835
RH,2024-01-31,A,4.7672,-10.1381
KIRK,2024-01-31,A,-74.7522,10.8835
RH,2024-01-31,Q,0.4253,-10.1381
CVGW,2024-01-31,Q,-1.0218,0.2518
RFIL,2024-01-31,Q,-2.7926,0.3374
CRM,2024-01-31,Q,2.1242,0.158
BRC,2024-01-31,Q,4.0143,0.0463
RFL,2024-01-31,Q,5.7739,0.0166
ENZ,2024-01-31,Q,-1.2153,0.0489
DBI,2024-01-31,A,3.7477,1.1889
CURV,2024-01-31,Q,-5.297,-1.4735
KFY,2024-01-31,Q,2.8382,0.2324
NVDA,2024-01-31,Q,23.8855,0.2259
ZUO,2024-01-31,A,-13.8263,2.6893
A,2024-01-31,Q,3.9803,0.4129
DCI,2024-01-31,Q,5.7125,0.4464
NVDA,2024-01-31,A,57.8572,0.2259
IVDN,2024-01-31,Q,-4.6544,0.0864
ADSK,2024-01-31,Q,6.8132,1.2313
ADSK,2024-01-31,A,21.8894,1.2313
ACCD,2024-02-29,Q,-1.148,0.468
STZ,2024-02-29,Q,1.9493,1.1803
ETWO,2024-02-29,Q,-1.7338,0.6649
GIS,2024-02-29,Q,3.2661,1.2913
CCL,2024-02-29,Q,-0.6075,4.6003
PAYX,2024-02-29,Q,10.9689,0.2181
STZ,2024-02-29,A,8.5088,1.1803
AZZ,2024-02-29,A,5.3839,1.0195
AZZ,2024-02-29,Q,0.9465,1.0195
