ticker,per_end_date,per_type,ret_invst,tot_debt_tot_equity
CMCSA,2024-03-31,Q,2.1325,1.1628
CMCO,2024-03-31,Q,0.8673,0.6011
CMCO,2024-03-31,A,3.4242,0.6011
CLRC,2024-03-31,Q,5.0339,-0.4915
COCH,2024-03-31,Q,241.8981,-0.6503
SXC,2024-03-31,Q,1.8444,0.7514
SXI,2024-03-31,Q,2.0761,0.2403
CLX,2024-03-31,Q,-1.8282,10.1608
CNVS,2024-03-31,A,-66.141,0.196
CNVS,2024-03-31,Q,-45.6471,0.196
CLVT,2024-03-31,Q,-0.7125,0.7876
CLST,2024-03-31,Q,-5.7485,0.3616
CNX,2024-03-31,Q,0.1095,0.5282
CLSK,2024-03-31,Q,8.6632,0.0
SXT,2024-03-31,Q,1.8121,0.6231
CLW,2024-03-31,Q,1.5264,0.6475
CME,2024-03-31,Q,2.8668,0.1262
CNFR,2024-03-31,Q,0.8398,9.7483
T,2024-03-31,Q,1.5353,1.1192
CMT,2024-03-31,Q,2.2938,0.1588
CMS,2024-03-31,Q,1.1172,1.8582
CNH,2024-03-31,Q,1.1249,3.4921
CMTG,2024-03-31,Q,-0.7756,2.19
CNC,2024-03-31,Q,2.5771,0.6655
CNDT,2024-03-31,Q,5.1295,1.3176
CNA,2024-03-31,Q,2.6757,0.3643
CNET,2024-03-31,Q,-15.4541,0.0227
CMTV,2024-03-31,Q,2.7597,1.401
CNFN,2024-03-31,Q,4.6457,-0.5239
COCO,2024-03-31,Q,6.7897,0.0001
CNK,2024-03-31,Q,0.8963,7.4854
CMLS,2024-03-31,Q,-1.2317,3.2183
CNOB,2024-03-31,Q,1.3274,0.7867
CMI,2024-03-31,Q,12.7772,0.6767
CNP,2024-03-31,Q,1.2449,1.9153
SYPR,2024-03-31,Q,-7.5349,0.601
CNRD,2024-03-31,Q,2.0396,0.0558
SYNA,2024-03-31,Q,-0.8216,0.7882
CNO,2024-03-31,Q,1.9709,1.4065
SYY,2024-03-31,Q,2.9878,5.8099
CMPR,2024-03-31,Q,-0.5424,-2.5207
CNMD,2024-03-31,Q,1.0684,1.1593
CMPO,2024-03-31,Q,-3.6042,-0.4183
CMPS,2024-03-31,Q,-12.1506,0.1266
CNNE,2024-03-31,Q,-3.9189,0.035
CMPD,2024-03-31,Q,2.0698,0.1236
CMP,2024-03-31,Q,-3.0567,2.1908
SYRS,2024-03-31,Q,-8.2833,2.7479
CLPR,2024-03-31,Q,-363.2154,1671.237
SWX,2024-03-31,Q,1.0938,1.5898
CIVI,2024-03-31,Q,1.5879,0.6688
CIVB,2024-03-31,Q,1.3202,1.3061
CISO,2024-03-31,Q,-48.873,1.3459
CIPI,2024-03-31,Q,132.3603,-0.7933
COMM,2024-03-31,Q,-4.4326,-2.7844
SVRA,2024-03-31,Q,-13.7216,0.2168
COLD,2024-03-31,Q,0.2363,0.8681
SVV,2024-03-31,Q,-0.0413,1.8783
COLL,2024-03-31,Q,4.1865,2.8047
SVT,2024-03-31,Q,-1.5128,0.083
COLB,2024-03-31,Q,2.503,0.914
COOK,2024-03-31,Q,-0.6765,1.4882
SVC,2024-03-31,Q,-1.5338,4.9577
CIFR,2024-03-31,Q,6.5298,0.0228
CORZQ,2024-03-31,Q,88.069,-1.8338
CIO,2024-03-31,Q,-0.0316,0.8705
CING,2024-03-31,Q,-92.4244,0.0054
CINF,2024-03-31,Q,5.5814,0.069
COOP,2024-03-31,Q,4.109,0.9392
CIM,2024-03-31,Q,1.0406,3.7021
COP,2024-03-31,Q,3.8287,0.3734
CLMB,2024-03-31,Q,3.5439,0.0152
COEP,2024-03-31,Q,302.9762,-2.0493
SWKH,2024-03-31,Q,0.2767,0.1103
COF,2024-03-31,Q,1.1897,0.8713
CLH,2024-03-31,Q,1.372,1.2087
CLMT,2024-03-31,Q,-2.7263,-4.3319
SWK,2024-03-31,Q,0.1347,0.8835
CODI,2024-03-31,Q,0.0761,1.1484
CLNE,2024-03-31,Q,-1.8749,0.3636
COHU,2024-03-31,Q,-1.5849,0.0118
CLBK,2024-03-31,Q,-0.045,1.4744
CLB,2024-03-31,Q,0.8774,0.6755
COIN,2024-03-31,Q,9.5661,1.168
CL,2024-03-31,Q,8.3143,14.0827
COKE,2024-03-31,Q,7.5171,0.3786
SWI,2024-03-31,Q,0.6271,0.9377
CLF,2024-03-31,Q,-0.4772,0.4923
COFS,2024-03-31,Q,2.325,1.1877
COHN,2024-03-31,Q,16.4355,6.3588
SWIM,2024-03-31,Q,-1.1715,0.7218
CLDT,2024-03-31,Q,-0.4616,0.4943
CLDI,2024-03-31,Q,65.6759,-0.5409
COHR,2024-03-31,Q,-0.1607,0.7288
CRSR,2024-03-31,Q,-1.3061,0.2723
SRRK,2024-03-31,Q,-25.005,0.2741
CSR,2024-03-31,Q,-0.3126,1.02
CCI,2024-03-31,Q,1.0871,3.8714
SST,2024-03-31,Q,-3.2147,1.7754
CCBG,2024-03-31,Q,2.3581,0.1897
CRTO,2024-03-31,Q,0.7986,0.0047
CAT,2024-03-31,Q,6.7191,2.1453
CRTG,2024-03-31,Q,-86.7302,-3.7861
CBLAQ,2024-03-31,Q,-0.0218,5.9085
CSTAF,2024-03-31,Q,2.6397,-0.2072
CRON,2024-03-31,Q,-0.2313,0.0021
CCOI,2024-03-31,Q,-3.4371,2.9231
CCO,2024-03-31,Q,-4.212,-1.5937
CARS,2024-03-31,Q,0.0821,0.984
STAG,2024-03-31,Q,0.6161,0.7759
CCRD,2024-03-31,Q,0.8183,0.0174
STAA,2024-03-31,Q,-0.8501,0.0004
CCNE,2024-03-31,Q,1.8432,0.1814
CCK,2024-03-31,Q,0.9733,2.542
CRS,2024-03-31,Q,0.2868,0.4618
SRPT,2024-03-31,Q,1.7242,1.2893
ST,2024-03-31,Q,1.1929,1.1431
CARV,2024-03-31,Q,0.026,1.0999
CCLD,2024-03-31,Q,-0.4777,0.2222
CSSEQ,2024-03-31,Q,8.7666,-1.0107
CROX,2024-03-31,Q,4.5862,1.0815
CARV,2024-03-31,A,-7.0363,1.0999
CCB,2024-03-31,Q,1.9347,0.1573
CBRRF,2024-03-31,Q,81.9364,-0.0905
CBRE,2024-03-31,Q,1.1954,0.5459
CSGP,2024-03-31,Q,0.0804,0.1349
CRWS,2024-03-31,Q,1.6814,0.1572
SSBK,2024-03-31,Q,2.5559,0.6585
STC,2024-03-31,Q,0.3432,0.3265
CRWS,2024-03-31,A,8.1959,0.1572
SSKN,2024-03-31,Q,-13.743,1.5983
SSD,2024-03-31,Q,3.4615,0.2758
CBNK,2024-03-31,Q,2.4167,0.1313
CBFV,2024-03-31,Q,2.3803,0.245
CBNT,2024-03-31,Q,159.7764,-1.1964
CSBB,2024-03-31,Q,2.6363,0.2846
CBOE,2024-03-31,Q,3.8344,0.3577
CBSH,2024-03-31,Q,3.8922,0.8462
CBZ,2024-03-31,Q,5.8986,0.5032
CATY,2024-03-31,Q,2.4508,0.1507
CSL,2024-03-31,Q,3.6008,0.8008
CAUD,2024-03-31,Q,-22.9992,2.1652
SSSS,2024-03-31,Q,-8.6343,0.4063
CC,2024-03-31,Q,1.1012,5.317
CATX,2024-03-31,Q,-5.1059,0.0075
CCAP,2024-03-31,Q,1.769,1.1061
SSRM,2024-03-31,Q,-8.4242,0.0808
SSNC,2024-03-31,Q,1.2074,1.0233
CSGS,2024-03-31,Q,2.4233,2.0104
CBT,2024-03-31,Q,3.738,0.7857
CRVW,2024-03-31,Q,2.7456,-0.556
CB,2024-03-31,Q,2.9532,0.2877
SSP,2024-03-31,Q,0.0405,2.4707
CBU,2024-03-31,Q,1.9917,0.4118
CBUS,2024-03-31,Q,-9.6752,0.0044
SSB,2024-03-31,Q,2.0742,0.1
CBAN,2024-03-31,Q,1.6517,0.8386
CCCS,2024-03-31,Q,-0.0234,0.4339
CSTL,2024-03-31,Q,-0.6144,0.0248
STBA,2024-03-31,Q,2.2578,0.2884
CARR,2024-03-31,Q,1.0489,1.419
CCS,2024-03-31,Q,1.8438,0.4422
CARM,2024-03-31,Q,-161.3227,0.2073
CDE,2024-03-31,Q,-1.8423,0.5751
CCSI,2024-03-31,Q,5.0724,-4.4242
CARE,2024-03-31,Q,1.6184,0.8647
IHT,2024-04-30,Q,0.7518,3.7668
A,2024-04-30,Q,3.6886,0.4113
