ticker,per_end_date,per_type,shares_out
AIR,2024-02-29,Q,35.43
DRI,2024-02-29,Q,119.36
NEOG,2024-02-29,Q,216.61
NVOS,2024-02-29,Q,17.75
PAPL,2024-02-29,Q,7.18
EDUC,2024-02-29,Q,8.57
MSM,2024-02-29,Q,56.3
STZ,2024-02-29,Q,182.91
MLKN,2024-02-29,Q,72.82
MKC.V,2024-02-29,Q,268.41
MKC,2024-02-29,Q,268.41
EPAC,2024-02-29,Q,54.25
ACI,2024-02-29,Q,576.04
WS,2024-02-29,Q,50.24
BSET,2024-02-29,Q,8.81
BB,2024-02-29,Q,589.23
AZZ,2024-02-29,Q,25.1
AZO,2024-02-29,Q,17.3
JEF,2024-02-29,Q,212.04
RMCF,2024-02-29,Q,6.32
JBL,2024-02-29,Q,120.6
AXIL,2024-02-29,Q,5.88
AYI,2024-02-29,Q,30.8
RPM,2024-02-29,Q,128.76
SCS,2024-02-29,Q,114.23
SAR,2024-02-29,Q,13.65
SCHL,2024-02-29,Q,28.6
TLRY,2024-02-29,Q,774.03
CTAS,2024-02-29,Q,405.49
ORCL,2024-02-29,Q,2748.5
HELE,2024-02-29,Q,23.75
VOXX,2024-02-29,Q,21.96
GIS,2024-02-29,Q,567.9
SNX,2024-02-29,Q,87.66
LFCR,2024-02-29,Q,30.55
LEVI,2024-02-29,Q,398.03
LEN.B,2024-02-29,Q,278.34
LEDS,2024-02-29,Q,7.18
LEN,2024-02-29,Q,278.34
ARTW,2024-02-29,Q,5.07
LOOP,2024-02-29,Q,47.53
LNN,2024-02-29,Q,11.03
CCL,2024-02-29,Q,1122.32
QEPC,2024-02-29,Q,3.42
WGO,2024-02-29,Q,29.27
WDFC,2024-02-29,Q,13.56
CAG,2024-02-29,Q,478.06
CUK,2024-02-29,Q,187.68
KBH,2024-02-29,Q,75.92
GIFT,2024-02-29,Q,25.4
WBA,2024-02-29,Q,862.71
FUL,2024-02-29,Q,54.49
KRUS,2024-02-29,Q,11.23
RDUS,2024-02-29,Q,27.98
KMX,2024-02-29,Q,157.9
GBX,2024-02-29,Q,31.09
CNXC,2024-02-29,Q,66.3
NG,2024-02-29,Q,334.37
PAYX,2024-02-29,Q,359.96
COST,2024-02-29,Q,443.5
NKE,2024-02-29,Q,1509.36
PENG,2024-02-29,Q,51.83
ADBE,2024-02-29,Q,448.0
PCYO,2024-02-29,Q,24.08
SKLZ,2024-03-31,Q,21.45
TKO,2024-03-31,Q,172.04
CTVA,2024-03-31,Q,696.98
TKNO,2024-03-31,Q,40.82
SKWD,2024-03-31,Q,39.99
SKT,2024-03-31,Q,109.35
GIFI,2024-03-31,Q,16.2
CTSH,2024-03-31,Q,497.2
CTS,2024-03-31,Q,30.79
TELA,2024-03-31,Q,24.65
GIGAQ,2024-03-31,Q,7.93
SJW,2024-03-31,Q,32.23
TG,2024-03-31,Q,34.43
DCGO,2024-03-31,Q,102.96
TKR,2024-03-31,Q,70.41
CTSO,2024-03-31,Q,54.31
CTV,2024-03-31,Q,140.14
TEL,2024-03-31,Q,306.23
SKIN,2024-03-31,Q,123.45
GH,2024-03-31,Q,121.71
GHC,2024-03-31,Q,4.44
GHI,2024-03-31,Q,23.02
GHLD,2024-03-31,Q,61.1
SKGR,2024-03-31,Q,15.3
GHM,2024-03-31,Q,10.83
TKOMY,2024-03-31,Q,1975.45
CUEN,2024-03-31,Q,2.73
GECC,2024-03-31,Q,9.45
SLGN,2024-03-31,Q,106.78
CUE,2024-03-31,Q,48.64
SLG,2024-03-31,Q,65.86
GEG,2024-03-31,Q,31.63
GEHC,2024-03-31,Q,456.46
CUBI,2024-03-31,Q,31.49
GEL,2024-03-31,Q,122.46
GE,2024-03-31,Q,1094.61
SLNG,2024-03-31,Q,18.58
GDRX,2024-03-31,Q,395.0
SLND,2024-03-31,Q,48.01
DGLY,2024-03-31,Q,2.88
SLM,2024-03-31,Q,219.72
CULL,2024-03-31,Q,7.27
SLDP,2024-03-31,Q,178.35
SKYT,2024-03-31,Q,47.34
GERN,2024-03-31,Q,593.13
GETR,2024-03-31,Q,93.11
SKYH,2024-03-31,Q,66.58
GETY,2024-03-31,Q,408.49
GEV,2024-03-31,Q,274.09
GILD,2024-03-31,Q,1245.08
GFF,2024-03-31,Q,50.95
DGICA,2024-03-31,Q,33.39
SKY,2024-03-31,Q,57.75
GEVO,2024-03-31,Q,241.78
GEN,2024-03-31,Q,636.91
SLDB,2024-03-31,Q,37.86
CUBE,2024-03-31,Q,224.97
DGICB,2024-03-31,Q,33.39
SLB,2024-03-31,Q,1429.34
GENK,2024-03-31,Q,32.4
SLAMF,2024-03-31,Q,23.45
