ticker,per_end_date,per_type,mkt_val
PTLO,2024-03-31,Q,1034.79
DZSI,2024-03-31,Q,41.13
EBC,2024-03-31,Q,2431.16
EA,2024-03-31,Q,35469.39
PFGC,2024-03-31,Q,11612.93
PRTS,2024-03-31,Q,91.76
EKSO,2024-03-31,Q,24.72
PRAA,2024-03-31,Q,1026.3
EL,2024-03-31,Q,55272.63
PRA,2024-03-31,Q,655.47
ELA,2024-03-31,Q,121.74
PR,2024-03-31,Q,13595.9
ELAB,2024-03-31,Q,12.04
ELAN,2024-03-31,Q,8043.9
PPSI,2024-03-31,Q,56.7
ELEV,2024-03-31,Q,280.29
EHTH,2024-03-31,Q,175.6
PRCT,2024-03-31,Q,2541.38
PRCH,2024-03-31,Q,421.95
EIX,2024-03-31,Q,27213.58
ELF,2024-03-31,Q,10881.02
POST,2024-03-31,Q,6439.07
ELS,2024-03-31,Q,12010.33
ELTP,2024-03-31,Q,164.84
POR,2024-03-31,Q,4327.31
PPL,2024-03-31,Q,20310.01
PPIH,2024-03-31,Q,63.33
ELME,2024-03-31,Q,1225.02
PPG,2024-03-31,Q,33979.05
PPBI,2024-03-31,Q,2314.36
PPC,2024-03-31,Q,8131.64
EDR,2024-03-31,Q,17839.26
EEFT,2024-03-31,Q,5041.31
PRPO,2024-03-31,Q,9.85
PRPL,2024-03-31,Q,187.37
PRPH,2024-03-31,Q,116.75
EEX,2024-03-31,Q,429.39
PROV,2024-03-31,Q,92.68
EFC,2024-03-31,Q,1004.52
PROK,2024-03-31,Q,376.12
EFOI,2024-03-31,Q,7.06
EFSC,2024-03-31,Q,1520.66
PRTH,2024-03-31,Q,247.84
EDSA,2024-03-31,Q,13.48
EDUC,2024-03-31,Q,17.74
PRST,2024-03-31,Q,16.56
EE,2024-03-31,Q,1736.37
PRSO,2024-03-31,Q,3.86
EFSH,2024-03-31,Q,10.74
PRK,2024-03-31,Q,2189.42
PRIM,2024-03-31,Q,2282.55
PRGS,2024-03-31,Q,2339.25
PRGO,2024-03-31,Q,4362.26
EGP,2024-03-31,Q,8654.9
PRG,2024-03-31,Q,1486.93
EGY,2024-03-31,Q,727.25
EHAB,2024-03-31,Q,584.32
PRKR,2024-03-31,Q,14.49
PRKS,2024-03-31,Q,3553.75
EFTR,2024-03-31,Q,56.15
PRO,2024-03-31,Q,1706.36
EFX,2024-03-31,Q,33068.5
EG,2024-03-31,Q,17274.65
EGAN,2024-03-31,Q,201.26
PRMB,2024-03-31,Q,2908.26
EGBN,2024-03-31,Q,703.03
PRLB,2024-03-31,Q,913.78
EHC,2024-03-31,Q,8314.59
EGHT,2024-03-31,Q,333.24
PRM,2024-03-31,Q,1166.88
ETNB,2024-03-31,Q,1108.42
PFG,2024-03-31,Q,20229.64
ETON,2024-03-31,Q,96.33
FITB,2024-03-31,Q,25340.63
ORC,2024-03-31,Q,473.06
ORBT,2024-03-31,Q,19.45
FIVN,2024-03-31,Q,4587.94
FIX,2024-03-31,Q,11349.21
ORA,2024-03-31,Q,3997.88
OPY,2024-03-31,Q,412.33
FL,2024-03-31,Q,2693.09
OPTX,2024-03-31,Q,139.41
ORI,2024-03-31,Q,8350.71
ORGS,2024-03-31,Q,28.24
FINW,2024-03-31,Q,128.57
FIP,2024-03-31,Q,638.64
ORGN,2024-03-31,Q,74.72
FIS,2024-03-31,Q,41653.01
ORCL,2024-03-31,Q,345239.09
FISI,2024-03-31,Q,290.71
ORGO,2024-03-31,Q,374.77
OPK,2024-03-31,Q,836.39
FLNT,2024-03-31,Q,40.38
OPI,2024-03-31,Q,99.46
FLO,2024-03-31,Q,5014.31
OPHC,2024-03-31,Q,41.33
OPGN,2024-03-31,Q,8.77
OPFI,2024-03-31,Q,277.3
FLR,2024-03-31,Q,7194.62
FLS,2024-03-31,Q,6013.97
OPEN,2024-03-31,Q,2095.48
OPCH,2024-03-31,Q,5829.8
OPBK,2024-03-31,Q,149.26
FLWS,2024-03-31,Q,696.75
OPAL,2024-03-31,Q,865.86
FLEX,2024-03-31,Q,12049.48
FLG,2024-03-31,Q,2589.8
